Unique ID,Job Title,Salary Estimate,Company Rating,Company Name,Company Location,Headquarters Location,Number of Employees,Date Founded,Type of Ownership,Industry,Sector,Revenue (USD),Quality Score
43,Data Analyst -1+ year Contract - NYC,"$66,500.00",4.0,Two95 International Inc.,NY,Cherry Hill,1-50 Employees,Unknown,Company - Private,Staffing & Outsourcing,Business Services,"$1,000,000-$5,000,000",4.38
44,Data Analyst,"$66,500.00",3.0,Vettery,NY,New York,201-500 Employees,2013,Company - Private,Internet,Information Technology,Unknown,3.78
45,Data Analyst,"$66,500.00",2.9,"Nesco Resource, LLC",NY,Cleveland,1001-5000 Employees,1956,Company - Private,Staffing & Outsourcing,Business Services,"$500,000,000 to $1,000,000,000",3.72
46,Advertising Data Analyst,"$66,500.00",4.0,Hearst Communications,NY,San Francisco,1-50 Employees,Unknown,Company - Private,Advertising & Marketing,Business Services,"<$1,000,000",4.38
47,Data Analyst,"$66,500.00",3.6,MediaMath,NY,New York,501-1000 Employees,2007,Company - Private,Advertising & Marketing,Business Services,"$100,000,000-$500,000,000",4.14
48,Market Data Reporting Analyst,"$66,500.00",4.9,Jordan & Jordan,NY,New York,1-50 Employees,1990,Company - Private,Brokerage Services,Finance,Unknown,4.92
49,"Senior Analyst, Data Science","$66,500.00",3.9,Roku,NY,San Jose,1001-5000 Employees,2002,Company - Public,IT Services,Information Technology,"$500,000,000 to $1,000,000,000",4.32
50,"Senior Data Analyst, Disney+","$66,500.00",4.0,Walt Disney Co.,NY,Burbank,10000+ Employees,1923,Company - Public,Motion Picture Production & Distribution,Media,"$10,000,000,000+",4.38
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst","$66,500.00",3.8,Citadel,NY,Chicago,1001-5000 Employees,1990,Company - Private,Unknown,Unknown,"$50,000,000-$100,000,000",4.26
52,Business Data Analyst,"$66,500.00",3.7,Xoriant Corporation,NJ,Sunnyvale,1001-5000 Employees,1990,Company - Private,IT Services,Information Technology,"$100,000,000-$500,000,000",4.2
53,Senior Data Analyst,"$66,500.00",3.6,Gemini,NY,New York,51-200 Employees,2015,Company - Private,Brokerage Services,Finance,Unknown,4.14
54,Data Scientist / Big Data Analytics Analyst,"$66,500.00",3.6,"TSR, Inc.",NJ,Hauppauge,201-500 Employees,1969,Company - Public,Staffing & Outsourcing,Business Services,"$50,000,000-$100,000,000",4.14
55,Data Reporting Analyst,"$66,500.00",Unknown,NADAP NYS INC.,NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.83
56,"Principal Data Analyst, LATAM - Disney Streaming Services","$66,500.00",4.0,Walt Disney Co.,NY,Burbank,10000+ Employees,1923,Company - Public,Motion Picture Production & Distribution,Media,"$10,000,000,000+",4.38
57,Data Analyst II,"$66,500.00",3.2,Fragomen Worldwide,NY,New York,1001-5000 Employees,1951,Company - Private,Legal,Accounting & Legal,"$500,000,000 to $1,000,000,000",3.9
58,"Data Analyst - Environmental, Social, and Governance","$66,500.00",3.8,Bloomberg,NY,New York,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown,4.26
59,Data Analyst,"$66,500.00",3.9,Real Capital Analytics,NY,New York,51-200 Employees,2000,Company - Private,Real Estate,Real Estate,"$25,000,000-$50,000,000",4.32
60,"Data Analyst, Revenue Analytics","$69,500.00",4.8,Ro,NY,New York,51-200 Employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,5.04
61,Data Analyst - Data Acquisition / Data Lineage,"$69,500.00",3.6,Perficient,NY,Saint Louis,1001-5000 Employees,1998,Company - Public,IT Services,Information Technology,"$500,000,000 to $1,000,000,000",4.32
62,Data Analyst - Data Scanning utilizing Rochade,"$69,500.00",3.6,Perficient,NY,Saint Louis,1001-5000 Employees,1998,Company - Public,IT Services,Information Technology,"$500,000,000 to $1,000,000,000",4.32
63,Data Analyst - Stitching,"$69,500.00",3.6,Perficient,NY,Saint Louis,1001-5000 Employees,1998,Company - Public,IT Services,Information Technology,"$500,000,000 to $1,000,000,000",4.32
64,Junior Data Analyst,"$69,500.00",4.1,Kforce,NY,Tampa,10000+ Employees,1966,Company - Public,Staffing & Outsourcing,Business Services,"$1,000,000,000-$2,000,000,000",4.62
65,"Data Analyst, Retail Media","$69,500.00",3.9,Criteo,NY,Paris,1001-5000 Employees,2005,Company - Public,Internet,Information Technology,"$2,000,000,000-$5,000,000,000",4.5
66,Data Analyst,"$69,500.00",3.0,Royal Communications,NY,New York,1-50 Employees,Unknown,Company - Private,IT Services,Information Technology,"$1,000,000-$5,000,000",3.96
67,Portfolio Data Analyst,"$69,500.00",3.7,Neuberger Berman,NY,New York,1001-5000 Employees,1939,Company - Private,Investment Banking & Asset Management,Finance,"$500,000,000 to $1,000,000,000",4.38
68,Data Science Analyst,"$69,500.00",Unknown,Greater New York Mutual Insurance Companies (GNY),NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.09
69,Data/Reporting Analyst,"$69,500.00",3.9,Diverse Lynx,NY,Princeton,501-1000 Employees,2002,Company - Private,IT Services,Information Technology,"$100,000,000-$500,000,000",4.5
70,Data Analyst 2,"$69,500.00",3.7,eTeam Inc.,NY,South Plainfield,51-200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,"$50,000,000-$100,000,000",4.38
71,Entry Level Data Analyst,"$69,500.00",Unknown,impakt Advisors,NY,New York,1-50 Employees,Unknown,Company - Private,Consulting,Business Services,Unknown,3.09
72,Marketing Data Analyst,"$69,500.00",3.6,Current,NY,Colorado Springs,201-500 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown,4.32
73,Data/Information Mgt Analyst,"$69,500.00",3.7,Citi,NY,New York,10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,"$10,000,000,000+",4.38
74,Business Data Analyst,"$69,500.00",3.6,Axelon Services Corporation,NY,New York,501-1000 Employees,Unknown,Company - Private,Staffing & Outsourcing,Business Services,"$100,000,000-$500,000,000",4.32
75,Information Systems Officer (Data Analyst),"$69,500.00",4.1,United Nations,NY,New York,10000+ Employees,1945,Government,Federal Agencies,Government,Unknown,4.62
76,Media Science Big Data Analyst,"$69,500.00",3.5,"Discovery Communications, Inc.",NY,New York,10000+ Employees,1985,Company - Public,TV Broadcast & Cable Networks,Media,"$5,000,000,000-$10,000,000,000",4.26
77,Data Analyst,"$69,500.00",3.7,Randstad,NJ,Atlanta,1001-5000 Employees,Unknown,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown,4.38
78,Data Analyst,"$69,500.00",5.0,Mulberry Technology,NY,New York,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,5.16
79,Data analyst with Python,"$69,500.00",4.0,Two95 International Inc.,NY,Cherry Hill,1-50 Employees,Unknown,Company - Private,Staffing & Outsourcing,Business Services,"$1,000,000-$5,000,000",4.56
80,Data Analyst,"$69,500.00",4.8,SoftStandard Solutions,NY,Fremont,51-200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,5.04
81,Data Analyst,"$69,500.00",5.0,"EDO, Inc.",NY,Los Angeles,1-50 Employees,Unknown,Company - Private,Internet,Information Technology,Unknown,5.16
82,"Healthcare Data Analyst, Qsight","$69,500.00",3.3,Guidepoint,NY,New York,501-1000 Employees,2003,Company - Private,Research & Development,Business Services,Unknown,4.14
83,BA/Data Analyst,"$69,500.00",4.1,Mitchell Martin,NY,New York,501-1000 Employees,1984,Company - Private,Staffing & Outsourcing,Business Services,"$100,000,000-$500,000,000",4.62
84,Data Analyst Python,"$69,500.00",4.0,Lorven Technologies Inc,NY,Plainsboro,1-50 Employees,Unknown,Company - Private,Accounting,Accounting & Legal,"<$1,000,000",4.56
85,"Data Analyst, Bitcoin Trading Firm","$69,500.00",Unknown,Fintech Recruiters,NY,Dublin,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,3.09
86,Data Analyst-BA,"$69,500.00",1.0,Sphinix Network Solutions Inc.,NY,New York,1-50 Employees,Unknown,Company - Private,IT Services,Information Technology,"<$1,000,000",2.76
87,Data Analytics Solutions Analyst,"$69,500.00",3.1,Praescient Analytics,NY,Alexandria,51-200 Employees,2011,Company - Private,Consulting,Business Services,"$10,000,000-$25,000,000",4.02
88,Quantitative Data Analyst,"$69,500.00",4.5,Global Atlantic Financial Group,NY,New York,1001-5000 Employees,2004,Company - Private,Insurance Carriers,Insurance,Unknown,4.86
89,Data Analyst,"$69,500.00",3.4,FINRA,NY,Washington,1001-5000 Employees,2007,Nonprofit Organization,Brokerage Services,Finance,"$500,000,000 to $1,000,000,000",4.2
90,Data Analyst,"$69,000.00",Unknown,NYU Langone Medical Center,NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.05
91,"Descriptive Analytics Data Analyst, IB","$69,000.00",3.6,Jefferies,NY,New York,1001-5000 Employees,1962,Company - Public,Investment Banking & Asset Management,Finance,"$2,000,000,000-$5,000,000,000",4.29
92,Data Analyst,"$69,000.00",4.1,RGP,NY,Irvine,1001-5000 Employees,1996,Company - Public,Consulting,Business Services,"$500,000,000 to $1,000,000,000",4.59
93,Data Analyst,"$69,000.00",4.4,Tachyon Technologies,NY,Irving,201-500 Employees,2011,Company - Private,IT Services,Information Technology,"$10,000,000-$25,000,000",4.77
94,Data Analyst,"$69,000.00",3.8,Apex Systems,NJ,Glen Allen,1001-5000 Employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,"$2,000,000,000-$5,000,000,000",4.41
95,Data Analyst,"$69,000.00",3.2,Hagerty Consulting,NY,Evanston,1-50 Employees,Unknown,Company - Private,Consulting,Business Services,"$1,000,000-$5,000,000",4.05
96,Data Analyst,"$69,000.00",Unknown,Gainful Health,NY,San Mateo,1-50 Employees,Unknown,Company - Private,Food & Beverage Stores,Retail,Unknown,3.05
97,Business Data Analyst,"$69,000.00",3.8,Cortex consultants LLC,NY,North Brunswick,501-1000 Employees,Unknown,Company - Private,Consulting,Business Services,Unknown,4.41
98,Data Analyst,"$69,000.00",4.7,Medly Pharmacy,NY,Brooklyn,201-500 Employees,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown,4.95
99,Healthcare Data Analyst,"$69,000.00",2.3,Fair Health,NY,New York,1-50 Employees,Unknown,Nonprofit Organization,Unknown,Unknown,"$10,000,000-$25,000,000",3.51
100,Supply Chain Data Analyst,"$69,000.00",3.8,Peloton Interactive,NY,New York,1001-5000 Employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown,4.41
101,Data Analyst - IBM Tool Set,"$69,000.00",4.6,ektello,NY,Troy,201-500 Employees,2011,Company - Private,Staffing & Outsourcing,Business Services,"$10,000,000-$25,000,000",4.89
102,Analyst-Data Integrity,"$69,000.00",3.0,"Premier, Inc.",NY,Charlotte,1001-5000 Employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,"$1,000,000,000-$2,000,000,000",3.93
103,"Reference Data Operations Analyst - Index Instrument, Associate","$69,000.00",3.9,JPMorgan Chase,NY,New York,10000+ Employees,1799,Company - Public,Investment Banking & Asset Management,Finance,"$10,000,000,000+",4.47
104,Data Analyst,"$69,000.00",3.0,Fund for Public Health,NY,New York,201-500 Employees,Unknown,Nonprofit Organization,Social Assistance,Non-Profit,"$25,000,000-$50,000,000",3.93
105,Data & Service Health Analyst,"$69,000.00",4.2,BlueVoyant,NY,New York,51-200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,4.65
106,Data/Systems Analyst,"$69,000.00",5.0,Crossfire Consulting Corporation,NY,Yorktown Heights,51-200 Employees,Unknown,Company - Private,Consulting,Business Services,"$5,000,000-$10,000,000",5.13
107,Data Analyst,"$69,000.00",4.0,Reliable Software Resources,NY,Northville,501-1000 Employees,2004,Company - Private,IT Services,Information Technology,"$50,000,000-$100,000,000",4.53
108,Data Analyst,"$69,000.00",Unknown,Hyde Leadership Brooklyn,NY,Brooklyn,51-200 Employees,Unknown,School / School District,Unknown,Unknown,Unknown,3.05
109,Data Analyst,"$69,000.00",Unknown,Vertex Intel Systems,NJ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.05
110,Data Analyst Intern,"$69,000.00",3.6,My Job Tank,NJ,New York,51-200 Employees,Unknown,Company - Private,IT Services,Information Technology,Unknown,4.29
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments","$69,000.00",3.7,Cowen,NY,New York,501-1000 Employees,1918,Company - Public,Investment Banking & Asset Management,Finance,"$100,000,000-$500,000,000",4.35
112,Data Reporting Analyst,"$69,000.00",3.5,Robert Half,NY,Menlo Park,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,"$2,000,000,000-$5,000,000,000",4.23
113,Data Analyst,"$69,000.00",2.8,FJA-US Inc.,NY,New York,51-200 Employees,1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,"$25,000,000-$50,000,000",3.81
114,Data Analyst,"$69,000.00",5.0,Averity,NY,New York,1-50 Employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown,5.13
115,Data Analyst,"$69,000.00",3.8,Capgemini,NJ,Paris,10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,"$10,000,000,000+",4.41
116,ERP Data Analyst,"$69,000.00",3.4,Wildlife Conservation Society,NY,Bronx,1001-5000 Employees,1895,Nonprofit Organization,Social Assistance,Non-Profit,"$100,000,000-$500,000,000",4.17
117,Data Analyst,"$69,000.00",3.6,Asembia,NJ,Florham Park,501-1000 Employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"$5,000,000-$10,000,000",4.29
118,Healthcare Data/Reporting Analyst,"$69,000.00",Unknown,Vesta Healthcare,NY,New York,1-50 Employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,3.05
119,PBM Data Analyst,"$69,000.00",3.2,1199SEIU Funds,NY,New York,1001-5000 Employees,Unknown,Nonprofit Organization,Insurance Carriers,Insurance,"$100,000,000-$500,000,000",4.05
120,Data Analyst (Temporary Assignment),"$72,000.00",3.8,Nutrafol,NY,New York,51-200 Employees,Unknown,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown,4.59
121,Data Analyst,"$72,000.00",3.5,New York Life Insurance Co,NY,New York,10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,"$10,000,000,000+",4.41
122,Market Data Analyst,"$72,000.00",3.5,"EDP World, Inc.",NY,New York,1-50 Employees,1968,Company - Private,Staffing & Outsourcing,Business Services,"$1,000,000-$5,000,000",4.41
123,Data Analyst,"$72,000.00",4.1,Phyton Talent Advisors,NJ,New York,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,4.77
124,Junior Data Analyst,"$72,000.00",5.0,"Staffigo Technical Services, LLC",NY,Woodridge,51-200 Employees,2008,Company - Private,IT Services,Information Technology,"$50,000,000-$100,000,000",5.31
125,Microsoft Dynamics CRM Data Analyst,"$72,000.00",3.7,IBM,NY,Armonk,10000+ Employees,1911,Company - Public,IT Services,Information Technology,"$10,000,000,000+",4.53
126,Practice Analyst Data,"$72,000.00",4.0,Northwell Health,NY,Lake Success,10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$10,000,000,000+",4.71
127,Buyside - Data Scientist/Research Analyst,"$72,000.00",3.3,Huxley,NY,London,201-500 Employees,1995,Company - Private,Staffing & Outsourcing,Business Services,"$25,000,000-$50,000,000",4.29
128,Data Analyst - Healthcare Provider Networks and Formularies,"$72,000.00",2.9,Vericred,NY,New York,1-50 Employees,2015,Company - Private,Internet,Information Technology,Unknown,4.05
129,Electronic Trading Data Analyst,"$72,000.00",3.6,Scotiabank,NY,Toronto,10000+ Employees,1832,Company - Public,Investment Banking & Asset Management,Finance,"$10,000,000,000+",4.47
130,"Data Analyst, Center for Developing Brain","$72,000.00",3.2,Child Mind Institute,NY,New York,201-500 Employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$25,000,000-$50,000,000",4.23
131,Data Processing & Performance Analyst,"$72,000.00",3.1,Balance Innovations,NY,Lenexa,51-200 Employees,Unknown,Company - Private,Computer Hardware & Software,Information Technology,"$1,000,000-$5,000,000",4.17
132,Business Analyst - Data Analyst,"$72,000.00",3.4,Asset Staffing,NJ,New York,201-500 Employees,Unknown,Contract,Staffing & Outsourcing,Business Services,Unknown,4.35
133,Data Analyst with Rochade,"$72,000.00",4.0,Reliable Software Resources,NY,Northville,501-1000 Employees,2004,Company - Private,IT Services,Information Technology,"$50,000,000-$100,000,000",4.71
134,Advertising Data Analyst,"$72,000.00",4.3,"Hearst Television, Inc",NY,Cincinnati,51-200 Employees,Unknown,Company - Private,TV Broadcast & Cable Networks,Media,"$5,000,000-$10,000,000",4.89
135,Product Analyst - Data,"$72,000.00",2.7,William Hill US,NJ,London,10000+ Employees,1934,Company - Public,Gambling,"Arts, Entertainment & Recreation","$2,000,000,000-$5,000,000,000",3.93
136,Senior Data Analyst,"$72,000.00",4.1,Rockstar Games,NY,New York,1001-5000 Employees,1998,Subsidiary or Business Segment,Video Games,Media,"$10,000,000-$25,000,000",4.77
137,Data Analyst,"$72,000.00",4.4,ZDAAS,NY,Baltimore,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,"$1,000,000-$5,000,000",4.95
138,Market Research Data Analyst - Physician Technology,"$72,000.00",3.1,Decision Resources Group,NY,Burlington,1001-5000 Employees,1990,Subsidiary or Business Segment,IT Services,Information Technology,"$100,000,000-$500,000,000",4.17
139,Data Analyst,"$72,000.00",3.0,Highbridge Consulting LLC,NY,Pleasantville,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,4.11
140,Look ML Data Analyst,"$72,000.00",2.9,"NTT DATA, Inc.",NY,Singapore,201-500 Employees,Unknown,Company - Private,Accounting,Accounting & Legal,Unknown,4.05
141,Data Collection Analyst,"$72,000.00",3.9,Columbia University,NY,New York,10000+ Employees,1938,College / University,Colleges & Universities,Education,"$2,000,000,000-$5,000,000,000",4.65
142,Data Analyst,"$72,000.00",4.2,Precision technologies corp,NY,New Brunswick,201-500 Employees,2008,Company - Private,IT Services,Information Technology,"$10,000,000-$25,000,000",4.83
143,DATA ENTRY/ BILLING ANALYST,"$72,000.00",3.9,Cactus Holdings,NY,Mumbai,1001-5000 Employees,2002,Company - Private,Research & Development,Business Services,Unknown,4.65
144,Student Persistence Initiative Data Analyst/Scientist,"$72,000.00",4.2,Cuny Research Foundation,NY,New York,10000+ Employees,1963,Nonprofit Organization,Colleges & Universities,Education,"$100,000,000-$500,000,000",4.83
145,Data Quality Analyst,"$72,000.00",Unknown,SGA Inc.,NY,Bethesda,1-50 Employees,1996,Company - Private,Architectural & Engineering Services,Business Services,"$1,000,000-$5,000,000",3.3
146,Data Governance Analyst,"$72,000.00",5.0,Crossfire Consulting Corporation,NY,Yorktown Heights,51-200 Employees,Unknown,Company - Private,Consulting,Business Services,"$5,000,000-$10,000,000",5.31
147,Sr. Business Intelligence Engineer / Data Analyst,"$72,000.00",3.9,Amazon,NY,Seattle,10000+ Employees,1994,Company - Public,Internet,Information Technology,"$10,000,000,000+",4.65
148,Data Analyst,"$72,000.00",3.4,Voice,NY,Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,4.35
149,Data Analyst,"$72,000.00",2.9,"NTT DATA, Inc.",NY,Singapore,201-500 Employees,Unknown,Company - Private,Accounting,Accounting & Legal,Unknown,4.05
150,Data Analyst,"$59,500.00",4.0,NYU Langone Health,NY,New York,10000+ Employees,1841,Hospital,Health Care Services & Hospitals,Health Care,"$5,000,000,000-$10,000,000,000",3.96
151,Healthcare Data/Reporting Analyst,"$59,500.00",3.6,HOMETEAM,NY,New York,51-200 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,3.72
152,Data Analyst I - Geriatrics and Palliative Care,"$59,500.00",3.4,Mount Sinai Health System,NY,New York,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Health Care,"$1,000,000,000-$2,000,000,000",3.6
